,Unnamed: 0,Destination Name,State,Category,Popular Attraction,Accessibility,Nearest Airport,Nearest Railway Station,Description,Activities,Budget,Best_Time
0,0,Taj Mahal,Uttar Pradesh,Heritage,Taj Mahal,Easy,Agra Civil Enclave,Agra Cantt,The Taj Mahal is a UNESCO World Heritage Site in Uttar Pradesh.,"monument visits, cultural tours",low,October to March
1,1,Jaipur,Rajasthan,Heritage,Amber Fort,Easy,Jaipur International,Jaipur Junction,"Jaipur is a city in Rajasthan, India. It is the capital of Rajasthan and is the home of the Amber Fort.","monument visits, cultural tours",medium,October to March
2,2,Goa,Goa,Beach,Calangute Beach,Easy,Dabolim Airport,Madgaon Railway Station,Goa is a popular tourist destination in Goa. Calangute Beach is a popular tourist attraction in Goa.,"swimming, sunbathing, water sports, nightlife",high,November to February
3,3,Kerala Backwaters,Kerala,Nature,Vembanad Lake,Moderate,Cochin International,Alleppey,Kerala Backwaters is a popular tourist destination in Kerala. The backwaters are located in the southern part of the state and are home to the Vembanad Lake.,"sightseeing, photography, relaxation",high,October to March
4,4,Varanasi,Uttar Pradesh,Religious,Ghats of Varanasi,Moderate,Lal Bahadur Shastri,Varanasi Junction,"Varanasi is a city in Uttar Pradesh, India. It is a city in the Varanasi district, which is a part of the state of Uttar Pradesh. The Ghats of Varanasi are the most important tourist attractions in Varanasi.","temple visits, spiritual activities",low,All year
5,5,Manali,Himachal Pradesh,Adventure,Solang Valley,Difficult,Bhuntar Airport,Joginder Nagar,Manali is a small village in the Himachal Pradesh state of Himachal Pradesh. It is located on the banks of the Solang River.,"rafting, trekking, camping, skiing",medium,March to June
6,6,Sundarbans,West Bengal,Nature,Sundarbans National Park,Difficult,Netaji Subhas Chandra Bose,Canning,The Sundarbans National Park is a national park in West Bengal.,"sightseeing, photography, relaxation",low,October to March
7,7,Amritsar,Punjab,Religious,Golden Temple,Easy,Sri Guru Ram Dass Jee,Amritsar Junction,"The Golden Temple is a temple in Punjab, India.","temple visits, spiritual activities",low,All year
8,8,Mahabalipuram,Tamil Nadu,Heritage,Shore Temple,Easy,Chennai International,Chengalpattu,Mahabalipuram is a popular tourist destination in Tamil Nadu. The temple is located on the shores of the Mahabalipuram river.,"monument visits, cultural tours",medium,October to March
9,9,Andaman Islands,Andaman and Nicobar Islands,Beach,Radhanagar Beach,Moderate,Veer Savarkar International,Port Blair,The Andaman Islands are a popular tourist destination in Andaman and Nicobar Islands. The beaches of the Andaman Islands are a popular tourist destination in Andaman and Nicobar Islands.,"swimming, sunbathing, water sports, nightlife",high,November to February
10,10,Kaziranga National Park,Assam,Nature,Kaziranga National Park,Moderate,Jorhat Airport,Furkating,Kaziranga National Park is a national park in Assam.,"sightseeing, photography, relaxation",low,October to March
11,11,Mysore,Karnataka,Heritage,Mysore Palace,Easy,Mysore Airport,Mysore,Mysore is a city in Karnataka state. It is the capital of Karnataka state. Mysore Palace is a palace in the city.,"monument visits, cultural tours",medium,October to March
12,12,Jaisalmer,Rajasthan,Heritage,Jaisalmer Fort,Moderate,Jaisalmer Airport,Jaisalmer,Jaisalmer Fort is a fort located in Rajasthan.,"monument visits, cultural tours",medium,October to March
13,13,Rishikesh,Uttarakhand,Adventure,Lakshman Jhula,Difficult,Dehradun Airport,Rishikesh,The Lakshman Jhula is a temple in the Himalayan region of Uttarakhand.,"rafting, trekking, camping, skiing",medium,March to June
14,14,Shimla,Himachal Pradesh,Nature,Mall Road,Easy,Shimla Airport,Shimla,Shimla is a city in Himachal Pradesh state. It is located on the Mall Road.,"sightseeing, photography, relaxation",medium,October to March
